file,source,motion,box_x,box_y,box_z
mentor_Bringing-carry_0010_mj_w_obj.npz,mentor,Bringing-carry_0010,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0011_mj_w_obj.npz,mentor,Bringing-carry_0011,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0014_mj_w_obj.npz,mentor,Bringing-carry_0014,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0016_mj_w_obj.npz,mentor,Bringing-carry_0016,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0018_mj_w_obj.npz,mentor,Bringing-carry_0018,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0027_mj_w_obj.npz,mentor,Bringing-carry_0027,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0028_mj_w_obj.npz,mentor,Bringing-carry_0028,0.21639568,0.21640438,0.21640646
mentor_Bringing-carry_0030_mj_w_obj.npz,mentor,Bringing-carry_0030,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0057_mj_w_obj.npz,mentor,Bringing-carry_0057,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0059_mj_w_obj.npz,mentor,Bringing-carry_0059,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0060_mj_w_obj.npz,mentor,Bringing-carry_0060,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0061_mj_w_obj.npz,mentor,Bringing-carry_0061,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0062_mj_w_obj.npz,mentor,Bringing-carry_0062,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0063_mj_w_obj.npz,mentor,Bringing-carry_0063,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0067_mj_w_obj.npz,mentor,Bringing-carry_0067,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0071_mj_w_obj.npz,mentor,Bringing-carry_0071,0.25063551,0.25064558,0.25064799
mentor_Bringing-carry_0072_mj_w_obj.npz,mentor,Bringing-carry_0072,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0073_mj_w_obj.npz,mentor,Bringing-carry_0073,0.21639568,0.21640438,0.21640646
mentor_Bringing-carry_0078_mj_w_obj.npz,mentor,Bringing-carry_0078,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0086_mj_w_obj.npz,mentor,Bringing-carry_0086,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0088_mj_w_obj.npz,mentor,Bringing-carry_0088,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0096_mj_w_obj.npz,mentor,Bringing-carry_0096,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0097_mj_w_obj.npz,mentor,Bringing-carry_0097,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0098_mj_w_obj.npz,mentor,Bringing-carry_0098,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0099_mj_w_obj.npz,mentor,Bringing-carry_0099,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0103_mj_w_obj.npz,mentor,Bringing-carry_0103,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0104_mj_w_obj.npz,mentor,Bringing-carry_0104,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0105_mj_w_obj.npz,mentor,Bringing-carry_0105,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0107_mj_w_obj.npz,mentor,Bringing-carry_0107,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0110_mj_w_obj.npz,mentor,Bringing-carry_0110,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0112_mj_w_obj.npz,mentor,Bringing-carry_0112,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0113_mj_w_obj.npz,mentor,Bringing-carry_0113,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0116_mj_w_obj.npz,mentor,Bringing-carry_0116,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0121_mj_w_obj.npz,mentor,Bringing-carry_0121,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0123_mj_w_obj.npz,mentor,Bringing-carry_0123,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0124_mj_w_obj.npz,mentor,Bringing-carry_0124,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0125_mj_w_obj.npz,mentor,Bringing-carry_0125,0.25063551,0.25064558,0.25064799
mentor_Bringing-carry_0126_mj_w_obj.npz,mentor,Bringing-carry_0126,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0127_mj_w_obj.npz,mentor,Bringing-carry_0127,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0128_mj_w_obj.npz,mentor,Bringing-carry_0128,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0129_mj_w_obj.npz,mentor,Bringing-carry_0129,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0130_mj_w_obj.npz,mentor,Bringing-carry_0130,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0131_mj_w_obj.npz,mentor,Bringing-carry_0131,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0132_mj_w_obj.npz,mentor,Bringing-carry_0132,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0133_mj_w_obj.npz,mentor,Bringing-carry_0133,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0134_mj_w_obj.npz,mentor,Bringing-carry_0134,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0135_mj_w_obj.npz,mentor,Bringing-carry_0135,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0136_mj_w_obj.npz,mentor,Bringing-carry_0136,0.21639568,0.21640438,0.21640646
mentor_Bringing-carry_0137_mj_w_obj.npz,mentor,Bringing-carry_0137,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0140_mj_w_obj.npz,mentor,Bringing-carry_0140,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0141_mj_w_obj.npz,mentor,Bringing-carry_0141,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0143_mj_w_obj.npz,mentor,Bringing-carry_0143,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0144_mj_w_obj.npz,mentor,Bringing-carry_0144,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0145_mj_w_obj.npz,mentor,Bringing-carry_0145,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0146_mj_w_obj.npz,mentor,Bringing-carry_0146,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0147_mj_w_obj.npz,mentor,Bringing-carry_0147,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0149_mj_w_obj.npz,mentor,Bringing-carry_0149,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0150_mj_w_obj.npz,mentor,Bringing-carry_0150,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0151_mj_w_obj.npz,mentor,Bringing-carry_0151,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0153_mj_w_obj.npz,mentor,Bringing-carry_0153,0.24750256,0.24751251000000002,0.24751489
mentor_Bringing-carry_0154_mj_w_obj.npz,mentor,Bringing-carry_0154,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0155_mj_w_obj.npz,mentor,Bringing-carry_0155,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0157_mj_w_obj.npz,mentor,Bringing-carry_0157,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0158_mj_w_obj.npz,mentor,Bringing-carry_0158,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0159_mj_w_obj.npz,mentor,Bringing-carry_0159,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0160_mj_w_obj.npz,mentor,Bringing-carry_0160,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0161_mj_w_obj.npz,mentor,Bringing-carry_0161,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0162_mj_w_obj.npz,mentor,Bringing-carry_0162,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0163_mj_w_obj.npz,mentor,Bringing-carry_0163,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0164_mj_w_obj.npz,mentor,Bringing-carry_0164,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0165_mj_w_obj.npz,mentor,Bringing-carry_0165,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0166_mj_w_obj.npz,mentor,Bringing-carry_0166,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0167_mj_w_obj.npz,mentor,Bringing-carry_0167,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0168_mj_w_obj.npz,mentor,Bringing-carry_0168,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0169_mj_w_obj.npz,mentor,Bringing-carry_0169,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0170_mj_w_obj.npz,mentor,Bringing-carry_0170,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0171_mj_w_obj.npz,mentor,Bringing-carry_0171,0.21639568,0.21640438,0.21640646
mentor_Bringing-carry_0173_mj_w_obj.npz,mentor,Bringing-carry_0173,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0175_mj_w_obj.npz,mentor,Bringing-carry_0175,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0176_mj_w_obj.npz,mentor,Bringing-carry_0176,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0177_mj_w_obj.npz,mentor,Bringing-carry_0177,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0179_mj_w_obj.npz,mentor,Bringing-carry_0179,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0181_mj_w_obj.npz,mentor,Bringing-carry_0181,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0183_mj_w_obj.npz,mentor,Bringing-carry_0183,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0184_mj_w_obj.npz,mentor,Bringing-carry_0184,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0185_mj_w_obj.npz,mentor,Bringing-carry_0185,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0186_mj_w_obj.npz,mentor,Bringing-carry_0186,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0187_mj_w_obj.npz,mentor,Bringing-carry_0187,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0188_mj_w_obj.npz,mentor,Bringing-carry_0188,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0189_mj_w_obj.npz,mentor,Bringing-carry_0189,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0190_mj_w_obj.npz,mentor,Bringing-carry_0190,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0191_mj_w_obj.npz,mentor,Bringing-carry_0191,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0192_mj_w_obj.npz,mentor,Bringing-carry_0192,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0193_mj_w_obj.npz,mentor,Bringing-carry_0193,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0194_mj_w_obj.npz,mentor,Bringing-carry_0194,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0196_mj_w_obj.npz,mentor,Bringing-carry_0196,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0198_mj_w_obj.npz,mentor,Bringing-carry_0198,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0199_mj_w_obj.npz,mentor,Bringing-carry_0199,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0200_mj_w_obj.npz,mentor,Bringing-carry_0200,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0201_mj_w_obj.npz,mentor,Bringing-carry_0201,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0202_mj_w_obj.npz,mentor,Bringing-carry_0202,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0203_mj_w_obj.npz,mentor,Bringing-carry_0203,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0205_mj_w_obj.npz,mentor,Bringing-carry_0205,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0206_mj_w_obj.npz,mentor,Bringing-carry_0206,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0208_mj_w_obj.npz,mentor,Bringing-carry_0208,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0209_mj_w_obj.npz,mentor,Bringing-carry_0209,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0210_mj_w_obj.npz,mentor,Bringing-carry_0210,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0211_mj_w_obj.npz,mentor,Bringing-carry_0211,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0212_mj_w_obj.npz,mentor,Bringing-carry_0212,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0214_mj_w_obj.npz,mentor,Bringing-carry_0214,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0216_mj_w_obj.npz,mentor,Bringing-carry_0216,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0217_mj_w_obj.npz,mentor,Bringing-carry_0217,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0219_mj_w_obj.npz,mentor,Bringing-carry_0219,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0221_mj_w_obj.npz,mentor,Bringing-carry_0221,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0222_mj_w_obj.npz,mentor,Bringing-carry_0222,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0223_mj_w_obj.npz,mentor,Bringing-carry_0223,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0224_mj_w_obj.npz,mentor,Bringing-carry_0224,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0226_mj_w_obj.npz,mentor,Bringing-carry_0226,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0227_mj_w_obj.npz,mentor,Bringing-carry_0227,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0228_mj_w_obj.npz,mentor,Bringing-carry_0228,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0229_mj_w_obj.npz,mentor,Bringing-carry_0229,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0230_mj_w_obj.npz,mentor,Bringing-carry_0230,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0231_mj_w_obj.npz,mentor,Bringing-carry_0231,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0234_mj_w_obj.npz,mentor,Bringing-carry_0234,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0235_mj_w_obj.npz,mentor,Bringing-carry_0235,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0236_mj_w_obj.npz,mentor,Bringing-carry_0236,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0238_mj_w_obj.npz,mentor,Bringing-carry_0238,0.21639568,0.21640438,0.21640646
mentor_Bringing-carry_0239_mj_w_obj.npz,mentor,Bringing-carry_0239,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0240_mj_w_obj.npz,mentor,Bringing-carry_0240,0.23023494,0.23024419000000002,0.23024641
mentor_Bringing-carry_0241_mj_w_obj.npz,mentor,Bringing-carry_0241,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0242_mj_w_obj.npz,mentor,Bringing-carry_0242,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0244_mj_w_obj.npz,mentor,Bringing-carry_0244,0.25063551,0.25064558,0.25064799
mentor_Bringing-carry_0246_mj_w_obj.npz,mentor,Bringing-carry_0246,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0247_mj_w_obj.npz,mentor,Bringing-carry_0247,0.22500234,0.22501137,0.22501354
mentor_Bringing-carry_0248_mj_w_obj.npz,mentor,Bringing-carry_0248,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0249_mj_w_obj.npz,mentor,Bringing-carry_0249,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0250_mj_w_obj.npz,mentor,Bringing-carry_0250,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0251_mj_w_obj.npz,mentor,Bringing-carry_0251,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0252_mj_w_obj.npz,mentor,Bringing-carry_0252,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0254_mj_w_obj.npz,mentor,Bringing-carry_0254,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0256_mj_w_obj.npz,mentor,Bringing-carry_0256,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0257_mj_w_obj.npz,mentor,Bringing-carry_0257,0.21639568,0.21640438,0.21640646
mentor_Bringing-carry_0258_mj_w_obj.npz,mentor,Bringing-carry_0258,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0262_mj_w_obj.npz,mentor,Bringing-carry_0262,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0263_mj_w_obj.npz,mentor,Bringing-carry_0263,0.22247422,0.22248315000000002,0.22248529
mentor_Bringing-carry_0289_mj_w_obj.npz,mentor,Bringing-carry_0289,0.24750256,0.24751251000000002,0.24751489
mentor_Bringing-carry_0298_mj_w_obj.npz,mentor,Bringing-carry_0298,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0299_mj_w_obj.npz,mentor,Bringing-carry_0299,0.21639568,0.21640438,0.21640646
mentor_Bringing-carry_0337_mj_w_obj.npz,mentor,Bringing-carry_0337,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0355_mj_w_obj.npz,mentor,Bringing-carry_0355,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0409_mj_w_obj.npz,mentor,Bringing-carry_0409,0.2289041,0.2289133,0.22891551
